country,count
France,35
United States of America,754
Mexico,13
India,157
Spain,25
China,523
Canada,42
Germany,102
Switzerland,78
Belgium,3
Hong Kong,68
Austria,11
Japan,38
United Kingdom,82
Australia,43
Indonesia,25
Saudi Arabia,17
Russia,79
Chile,6
Monaco,17
Czech Republic,7
Sweden,26
 ,38
Thailand,28
Uzbekistan,1
Singapore,46
Nigeria,3
Israel,26
Italy,55
South Africa,5
Brazil,44
Malaysia,11
South Korea,29
New Zealand,2
Philippines,14
Taiwan,43
Norway,9
Egypt,4
Denmark,7
Eswatini (Swaziland),1
Colombia,1
Netherlands,10
Poland,5
Bahamas,2
Ukraine,6
Cayman Islands,3
Greece,3
Turkey,25
Argentina,4
Georgia,1
Portugal,1
Kazakhstan,7
Algeria,1
Vietnam,6
Latvia,1
Finland,7
Bermuda,2
Luxembourg,1
British Virgin Islands,1
Cambodia,1
Lebanon,2
Oman,1
Ireland,4
Cyprus,5
Guernsey,1
Liechtenstein,1
Turks and Caicos Islands,1
Romania,3
Qatar,2
Uruguay,1
Nepal,1
Slovakia,2
Morocco,2
Hungary,3
Tanzania,1
Bahrain,1
Peru,2
Andorra,1
Armenia,1
